metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
me_sesgo_pred_menos_real,0.5237674085568236,0.462450159397775,0.5929197557279903,3000,983,RF,segmento_tramo_real,programado,0-2
pup_subestimacion,0.21871820956256358,0.19328585961342828,0.2451678535096643,3000,983,RF,segmento_tramo_real,programado,0-2
mae_asimetrico_alpha_2,0.6427276751284959,0.5834799985055426,0.7082854735965782,3000,983,RF,segmento_tramo_real,programado,0-2
pct_error_abs_le_1d,0.8524923702950152,0.8301119023397762,0.8758901322482198,3000,983,RF,segmento_tramo_real,programado,0-2
pct_error_abs_le_3d,0.9816887080366226,0.9735503560528993,0.9898270600203459,3000,983,RF,segmento_tramo_real,programado,0-2
pct_error_abs_le_7d,0.9979654120040692,0.9949135300101729,1.0,3000,983,RF,segmento_tramo_real,programado,0-2
precision_plos_14,0.0,0.0,0.0,3000,983,RF,segmento_tramo_real,programado,0-2
recall_plos_14,,,,3000,983,RF,segmento_tramo_real,programado,0-2
f1_plos_14,,,,3000,983,RF,segmento_tramo_real,programado,0-2
accuracy_plos_14,0.9989827060020345,0.9969481180061037,1.0,3000,983,RF,segmento_tramo_real,programado,0-2
n_plos_real_14,0.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
n_plos_pred_14,1.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
tn_plos_14,982.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
fp_plos_14,1.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
fn_plos_14,0.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
tp_plos_14,0.0,,,3000,983,RF,segmento_tramo_real,programado,0-2
mae,1.3780640806155111,1.2474965812575205,1.5111943493753748,3000,501,RF,segmento_tramo_real,programado,3-6
rmse,2.046425246131449,1.7678032646689374,2.3259021637387463,3000,501,RF,segmento_tramo_real,programado,3-6
medae,0.9552197833788054,0.8549336021629279,1.0581850324493771,3000,501,RF,segmento_tramo_real,programado,3-6
me_sesgo_pred_menos_real,-0.5003944255038452,-0.6636770744564678,-0.3209953124667171,3000,501,RF,segmento_tramo_real,programado,3-6
pup_subestimacion,0.6986027944111777,0.6586826347305389,0.7385229540918163,3000,501,RF,segmento_tramo_real,programado,3-6
mae_asimetrico_alpha_2,2.317293333675189,2.133175377837955,2.5128108650132743,3000,501,RF,segmento_tramo_real,programado,3-6
pct_error_abs_le_1d,0.5189620758483033,0.4750499001996008,0.562874251497006,3000,501,RF,segmento_tramo_real,programado,3-6
pct_error_abs_le_3d,0.9021956087824351,0.8762475049900199,0.9281437125748503,3000,501,RF,segmento_tramo_real,programado,3-6
pct_error_abs_le_7d,0.9880239520958084,0.9780439121756487,0.9960079840319361,3000,501,RF,segmento_tramo_real,programado,3-6
precision_plos_14,0.0,0.0,0.0,3000,501,RF,segmento_tramo_real,programado,3-6
recall_plos_14,,,,3000,501,RF,segmento_tramo_real,programado,3-6
f1_plos_14,,,,3000,501,RF,segmento_tramo_real,programado,3-6
accuracy_plos_14,0.9920159680638723,0.9840319361277445,0.998003992015968,3000,501,RF,segmento_tramo_real,programado,3-6
n_plos_real_14,0.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
n_plos_pred_14,4.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
tn_plos_14,497.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
fp_plos_14,4.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
fn_plos_14,0.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
tp_plos_14,0.0,,,3000,501,RF,segmento_tramo_real,programado,3-6
mae,4.486739006239096,3.952017292323922,5.076027778039049,3000,110,RF,segmento_tramo_real,programado,7-13
rmse,5.43824942895878,4.726328434283744,6.160955942414991,3000,110,RF,segmento_tramo_real,programado,7-13
medae,4.161862445784413,3.2199079215300674,4.7829846582619595,3000,110,RF,segmento_tramo_real,programado,7-13
me_sesgo_pred_menos_real,-2.608043156757286,-3.4789630095876616,-1.7001522385994352,3000,110,RF,segmento_tramo_real,programado,7-13
pup_subestimacion,0.8181818181818182,0.7454545454545455,0.8818181818181818,3000,110,RF,segmento_tramo_real,programado,7-13
mae_asimetrico_alpha_2,8.034130087737289,7.148021180598148,9.022025247838286,3000,110,RF,segmento_tramo_real,programado,7-13
pct_error_abs_le_1d,0.09090909090909091,0.045454545454545456,0.14545454545454545,3000,110,RF,segmento_tramo_real,programado,7-13
pct_error_abs_le_3d,0.38181818181818183,0.2909090909090909,0.4727272727272727,3000,110,RF,segmento_tramo_real,programado,7-13
pct_error_abs_le_7d,0.8363636363636363,0.7636363636363637,0.9,3000,110,RF,segmento_tramo_real,programado,7-13
precision_plos_14,0.0,0.0,0.0,3000,110,RF,segmento_tramo_real,programado,7-13
recall_plos_14,,,,3000,110,RF,segmento_tramo_real,programado,7-13
f1_plos_14,,,,3000,110,RF,segmento_tramo_real,programado,7-13
accuracy_plos_14,0.9181818181818182,0.8636363636363636,0.9636363636363636,3000,110,RF,segmento_tramo_real,programado,7-13
n_plos_real_14,0.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
n_plos_pred_14,9.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
tn_plos_14,101.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
fp_plos_14,9.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
fn_plos_14,0.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
tp_plos_14,0.0,,,3000,110,RF,segmento_tramo_real,programado,7-13
mae,17.058349422497724,13.932195586527355,20.70662364097301,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
rmse,24.28003199040771,18.452299563264297,30.434798904817452,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
medae,11.595729403884029,9.738001807284842,14.363627864354848,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
me_sesgo_pred_menos_real,-14.13731948598378,-18.254018970094826,-10.338865733640663,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
pup_subestimacion,0.8181818181818182,0.7373737373737373,0.8888888888888888,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
mae_asimetrico_alpha_2,32.65618387673848,26.310383907565782,40.1851984046673,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_1d,0.020202020202020204,0.0,0.050505050505050504,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_3d,0.09090909090909091,0.04040404040404041,0.15151515151515152,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_7d,0.25252525252525254,0.1717171717171717,0.3434343434343434,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
recall_plos_14,0.5959595959595959,0.5050505050505051,0.6868686868686869,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
f1_plos_14,0.7468354430379746,0.6711409395973155,0.8143712574850299,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
accuracy_plos_14,0.5959595959595959,0.5050505050505051,0.6868686868686869,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
n_plos_real_14,99.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
n_plos_pred_14,59.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
tn_plos_14,0.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
fp_plos_14,0.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
fn_plos_14,40.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
tp_plos_14,59.0,,,3000,99,RF,segmento_tramo_real,programado,14+ (PLOS)
