scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
segmento,LR,global,todos,todos,2391,0.8996235884567126,12.433098404504685,8.52410730584788,5.786289111131477,18.21938751563616
segmento,RF,global,todos,todos,2391,0.8996235884567126,12.222833461050945,8.290365924179193,2.253442177615073,14.476275638666017
segmento,XGB,global,todos,todos,2391,0.8996235884567126,11.308747810383101,7.292084219999998,2.5422224427101634,13.850970253093262
segmento,LR,tramo_real,todos,0-2,1183,0.978021978021978,9.264913599107038,6.765109130809065,0.14409809878657495,9.409011697893613
segmento,LR,tramo_real,todos,14+ (PLOS),279,0.48028673835125446,21.674707004632918,24.69465032755556,45.27065672261452,66.94536372724744
segmento,LR,tramo_real,todos,3-6,680,0.9573529411764706,12.117051043669129,8.569496450931828,0.7533870861977189,12.870438129866846
segmento,LR,tramo_real,todos,7-13,249,0.8393574297188755,17.99320294554009,20.883903312474576,2.0953123278190455,20.088515273359132
segmento,RF,tramo_real,todos,0-2,1183,0.9661876584953508,9.87765033946489,7.875035901120443,0.16616500117168548,10.043815340636574
segmento,RF,tramo_real,todos,14+ (PLOS),279,0.5448028673835126,18.873161827442008,25.08445834799518,12.948954731273291,31.822116558715297
segmento,RF,tramo_real,todos,3-6,680,0.9441176470588235,11.875367125392078,8.290365924179193,1.1578435795611957,13.033210704953273
segmento,RF,tramo_real,todos,7-13,249,0.8594377510040161,16.862139191417302,20.80482937492913,3.177972072950498,20.0401112643678
segmento,XGB,tramo_real,todos,0-2,1183,0.9678782755705833,8.872507559066776,6.921054279999997,0.17857778399830934,9.051085343065086
segmento,XGB,tramo_real,todos,14+ (PLOS),279,0.5340501792114696,18.611519644731178,25.26537165,15.741254642795699,34.352774287526884
segmento,XGB,tramo_real,todos,3-6,680,0.9573529411764706,10.817316942485292,7.292084219999998,1.1705619032941175,11.98787884577941
segmento,XGB,tramo_real,todos,7-13,249,0.8273092369477911,16.04277136738956,19.435290249999998,2.728530933614458,18.771302301004013
segmento,LR,segmento,programado,todos,1693,0.8995865327820437,7.399867510011912,7.368701276428084,2.250997776069888,9.6508652860818
segmento,LR,segmento,urgente,todos,698,0.8997134670487106,24.641207150029416,23.09666242762954,14.36114330921066,39.00235045924008
segmento,RF,segmento,programado,todos,1693,0.8995865327820437,7.885933464158496,8.048164408983144,1.6754572813938415,9.561390745552337
segmento,RF,segmento,urgente,todos,698,0.8997134670487106,22.74199061683735,23.005820604103477,3.6553453714582584,26.397335988295612
segmento,XGB,segmento,programado,todos,1693,0.8995865327820437,6.968071635484935,7.241513879999998,1.9961341453750736,8.96420578086001
segmento,XGB,segmento,urgente,todos,698,0.8997134670487106,21.837064091332376,21.130139299999996,3.8667603902578795,25.703824481590257
segmento,LR,segmento_tramo_real,programado,0-2,983,0.9766022380467956,6.811946999212646,6.563861950476483,0.09836319592275983,6.910310195135405
segmento,LR,segmento_tramo_real,programado,14+ (PLOS),99,0.15151515151515152,8.490944625894226,8.56949645093183,28.85600948209289,37.346954107987116
segmento,LR,segmento_tramo_real,programado,3-6,501,0.9441117764471058,8.135987183309084,8.557376985100031,0.9733480660137923,9.109335249322875
segmento,LR,segmento_tramo_real,programado,7-13,110,0.6818181818181818,8.319079067479624,8.569496450931828,3.3623263044921896,11.681405371971811
segmento,LR,segmento_tramo_real,urgente,0-2,200,0.985,21.321244437587975,20.516983526690566,0.36888514636222636,21.690129583950203
segmento,LR,segmento_tramo_real,urgente,14+ (PLOS),180,0.6611111111111111,28.925776312939202,32.08964713869172,54.29871270490142,83.22448901784063
segmento,LR,segmento_tramo_real,urgente,3-6,179,0.994413407821229,23.259581736632164,22.391433452470146,0.1377421091706087,23.397323845802774
segmento,LR,segmento_tramo_real,urgente,7-13,139,0.9640287769784173,25.648984431774988,24.93998176553179,1.0926393966388595,26.741623828413847
segmento,RF,segmento_tramo_real,programado,0-2,983,0.9664292980671414,7.647405077728714,7.667540252375982,0.16968516546613552,7.817090243194849
segmento,RF,segmento_tramo_real,programado,14+ (PLOS),99,0.16161616161616163,8.28258178477963,8.290365924179193,15.852438590704462,24.13502037548409
segmento,RF,segmento_tramo_real,programado,3-6,501,0.9461077844311377,8.1938210996332,8.290365924179193,1.2839248565026036,9.477745956135802
segmento,RF,segmento_tramo_real,programado,7-13,110,0.7545454545454545,8.25823814366902,8.290365924179193,4.1555535105365164,12.413791654205534
segmento,RF,segmento_tramo_real,urgente,0-2,200,0.965,20.83930580089819,20.33689424239754,0.14886339366446363,20.98816919456265
segmento,RF,segmento_tramo_real,urgente,14+ (PLOS),180,0.7555555555555555,24.69798085090632,25.084458347995188,11.352038608586145,36.050019459492454
segmento,RF,segmento_tramo_real,urgente,3-6,179,0.9385474860335196,22.179582538270278,21.9934570185496,0.8049568770603834,22.98453941533066
segmento,RF,segmento_tramo_real,urgente,7-13,139,0.9424460431654677,23.670981747189327,24.809953132465843,2.404346474860844,26.07532822205017
segmento,XGB,segmento_tramo_real,programado,0-2,983,0.965412004069176,6.762449180545266,6.729236379999997,0.18371728354018305,6.94616646408545
segmento,XGB,segmento_tramo_real,programado,14+ (PLOS),99,0.21212121212121213,7.292084219999995,7.292084219999998,20.28991698121212,27.58200120121212
segmento,XGB,segmento_tramo_real,programado,3-6,501,0.9620758483033932,7.239128708063869,7.292084219999998,1.3806365509780436,8.619765259041912
