metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,0.8514109623408773,0.7744610208859939,0.9292239568873338,3000,1183,RF,tramo_real,todos,0-2
rmse,1.633410303221511,1.3882591342768074,1.883345202785539,3000,1183,RF,tramo_real,todos,0-2
medae,0.4739440363739895,0.441655228598097,0.5250089379003712,3000,1183,RF,tramo_real,todos,0-2
me_sesgo_pred_menos_real,0.7701118723076028,0.691156261432916,0.8498888834239154,3000,1183,RF,tramo_real,todos,0-2
pup_subestimacion,0.19695688926458157,0.17582417582417584,0.21893491124260356,3000,1183,RF,tramo_real,todos,0-2
mae_asimetrico_alpha_2,0.8920605073575144,0.8169143915826016,0.9702317447338881,3000,1183,RF,tramo_real,todos,0-2
pct_error_abs_le_1d,0.7776838546069316,0.7540152155536771,0.801352493660186,3000,1183,RF,tramo_real,todos,0-2
pct_error_abs_le_3d,0.9459002535925612,0.9332206255283179,0.9585798816568047,3000,1183,RF,tramo_real,todos,0-2
pct_error_abs_le_7d,0.9907016060862215,0.9856297548605241,0.9957734573119188,3000,1183,RF,tramo_real,todos,0-2
precision_plos_14,0.0,0.0,0.0,3000,1183,RF,tramo_real,todos,0-2
recall_plos_14,,,,3000,1183,RF,tramo_real,todos,0-2
f1_plos_14,,,,3000,1183,RF,tramo_real,todos,0-2
accuracy_plos_14,0.9991546914623838,0.9974640743871513,1.0,3000,1183,RF,tramo_real,todos,0-2
n_plos_real_14,0.0,,,3000,1183,RF,tramo_real,todos,0-2
n_plos_pred_14,1.0,,,3000,1183,RF,tramo_real,todos,0-2
tn_plos_14,1182.0,,,3000,1183,RF,tramo_real,todos,0-2
fp_plos_14,1.0,,,3000,1183,RF,tramo_real,todos,0-2
fn_plos_14,0.0,,,3000,1183,RF,tramo_real,todos,0-2
tp_plos_14,0.0,,,3000,1183,RF,tramo_real,todos,0-2
mae,1.64663770310426,1.495829997146856,1.8207005912122016,3000,680,RF,tramo_real,todos,3-6
rmse,2.731885332663487,2.261472896990152,3.249722893545105,3000,680,RF,tramo_real,todos,3-6
medae,1.0873133994972335,0.9727449879685095,1.167241575228258,3000,680,RF,tramo_real,todos,3-6
me_sesgo_pred_menos_real,-0.15909139481751902,-0.35748818956696876,0.06275952751994579,3000,680,RF,tramo_real,todos,3-6
pup_subestimacion,0.6529411764705882,0.6191176470588236,0.6867647058823529,3000,680,RF,tramo_real,todos,3-6
mae_asimetrico_alpha_2,2.5495022520651496,2.370068068295932,2.7457480543107597,3000,680,RF,tramo_real,todos,3-6
pct_error_abs_le_1d,0.46911764705882353,0.4323529411764706,0.5058823529411764,3000,680,RF,tramo_real,todos,3-6
pct_error_abs_le_3d,0.8705882352941177,0.8441176470588235,0.8941544117647061,3000,680,RF,tramo_real,todos,3-6
pct_error_abs_le_7d,0.975,0.961764705882353,0.9852941176470589,3000,680,RF,tramo_real,todos,3-6
precision_plos_14,0.0,0.0,0.0,3000,680,RF,tramo_real,todos,3-6
recall_plos_14,,,,3000,680,RF,tramo_real,todos,3-6
f1_plos_14,,,,3000,680,RF,tramo_real,todos,3-6
accuracy_plos_14,0.986764705882353,0.9779411764705882,0.9941176470588236,3000,680,RF,tramo_real,todos,3-6
n_plos_real_14,0.0,,,3000,680,RF,tramo_real,todos,3-6
n_plos_pred_14,9.0,,,3000,680,RF,tramo_real,todos,3-6
tn_plos_14,671.0,,,3000,680,RF,tramo_real,todos,3-6
fp_plos_14,9.0,,,3000,680,RF,tramo_real,todos,3-6
fn_plos_14,0.0,,,3000,680,RF,tramo_real,todos,3-6
tp_plos_14,0.0,,,3000,680,RF,tramo_real,todos,3-6
mae,4.266182471831946,3.875337821066451,4.667124732920228,3000,249,RF,tramo_real,todos,7-13
rmse,5.318613707722908,4.680645184764839,5.980731437207648,3000,249,RF,tramo_real,todos,7-13
medae,3.9320688929525396,3.1988396934452235,4.236648025530595,3000,249,RF,tramo_real,todos,7-13
me_sesgo_pred_menos_real,-1.644338352225718,-2.234208065467436,-0.9788427311033643,3000,249,RF,tramo_real,todos,7-13
pup_subestimacion,0.714859437751004,0.6586345381526104,0.7670682730923695,3000,249,RF,tramo_real,todos,7-13
mae_asimetrico_alpha_2,7.221442883860776,6.634049187922992,7.801266352543225,3000,249,RF,tramo_real,todos,7-13
pct_error_abs_le_1d,0.10040160642570281,0.0642570281124498,0.14056224899598393,3000,249,RF,tramo_real,todos,7-13
pct_error_abs_le_3d,0.40963855421686746,0.3534136546184739,0.4738955823293173,3000,249,RF,tramo_real,todos,7-13
pct_error_abs_le_7d,0.8554216867469879,0.8112449799196787,0.8995983935742972,3000,249,RF,tramo_real,todos,7-13
precision_plos_14,0.0,0.0,0.0,3000,249,RF,tramo_real,todos,7-13
recall_plos_14,,,,3000,249,RF,tramo_real,todos,7-13
f1_plos_14,,,,3000,249,RF,tramo_real,todos,7-13
accuracy_plos_14,0.9076305220883534,0.8674698795180723,0.9397590361445783,3000,249,RF,tramo_real,todos,7-13
n_plos_real_14,0.0,,,3000,249,RF,tramo_real,todos,7-13
n_plos_pred_14,23.0,,,3000,249,RF,tramo_real,todos,7-13
tn_plos_14,226.0,,,3000,249,RF,tramo_real,todos,7-13
fp_plos_14,23.0,,,3000,249,RF,tramo_real,todos,7-13
fn_plos_14,0.0,,,3000,249,RF,tramo_real,todos,7-13
tp_plos_14,0.0,,,3000,249,RF,tramo_real,todos,7-13
mae,15.106435505480329,13.141100835124027,17.397992749612865,3000,279,RF,tramo_real,todos,14+ (PLOS)
rmse,23.11270382234482,18.693033006978062,27.98197290713871,3000,279,RF,tramo_real,todos,14+ (PLOS)
medae,10.437750259789878,9.542784195861614,11.52867544658033,3000,279,RF,tramo_real,todos,14+ (PLOS)
me_sesgo_pred_menos_real,-12.846596764621316,-15.34225845795503,-10.688195933315294,3000,279,RF,tramo_real,todos,14+ (PLOS)
pup_subestimacion,0.8351254480286738,0.7921146953405018,0.8781362007168458,3000,279,RF,tramo_real,todos,14+ (PLOS)
mae_asimetrico_alpha_2,29.08295164053115,25.06448837753399,33.71765876014158,3000,279,RF,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_1d,0.03225806451612903,0.010752688172043012,0.053763440860215055,3000,279,RF,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_3d,0.12186379928315412,0.08602150537634409,0.16129032258064516,3000,279,RF,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_7d,0.3225806451612903,0.26881720430107525,0.3763440860215054,3000,279,RF,tramo_real,todos,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,279,RF,tramo_real,todos,14+ (PLOS)
