p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
0TN70ZZ;0TN;0;rare_sec_0;seccion_rare;1;3;9118
041K0JQ;041;0;041;categoria_3_char;1;123;9118
0QB53ZZ;0QB;0;0QB;categoria_3_char;1;187;9118
0YU74JZ;0YU;0;0YU;categoria_3_char;2;129;9118
0V903ZZ;0V9;0;rare_sec_0;seccion_rare;1;4;9118
0CB10ZX;0CB;0;0CB;categoria_3_char;1;39;9118
059Y3ZZ;059;0;rare_sec_0;seccion_rare;2;2;9118
2W3AXYZ;2W3;2;2W3;categoria_3_char;1;26;53
0D528ZZ;0D5;0;0D5;categoria_3_char;1;36;9118
0T9330Z;0T9;0;0T9;categoria_3_char;3;327;9118
0PSP34Z;0PS;0;0PS;categoria_3_char;2;181;9118
2W32XYZ;2W3;2;2W3;categoria_3_char;1;26;53
2W3AX1Z;2W3;2;2W3;categoria_3_char;1;26;53
0SP00AZ;0SP;0;0SP;categoria_3_char;2;39;9118
0LMN0ZZ;0LM;0;rare_sec_0;seccion_rare;1;19;9118
B30R1ZZ;B30;B;rare_sec_B;seccion_rare;1;2;1410
0D748DZ;0D7;0;0D7;categoria_3_char;1;20;9118
B41F0ZZ;B41;B;B41;categoria_3_char;1;39;1410
02H43MZ;02H;0;02H;categoria_3_char;1;237;9118
02HK3MZ;02H;0;02H;categoria_3_char;1;237;9118
0HPT0JZ;0HP;0;rare_sec_0;seccion_rare;1;7;9118
0HPU0JZ;0HP;0;rare_sec_0;seccion_rare;1;7;9118
0UQG0ZZ;0UQ;0;rare_sec_0;seccion_rare;5;17;9118
0GBG0ZZ;0GB;0;0GB;categoria_3_char;5;20;9118
0LMR0ZZ;0LM;0;rare_sec_0;seccion_rare;1;19;9118
0HX8XZZ;0HX;0;rare_sec_0;seccion_rare;1;11;9118
0JB93ZZ;0JB;0;0JB;categoria_3_char;1;103;9118
0CQ7XZZ;0CQ;0;rare_sec_0;seccion_rare;1;5;9118
0SG30AJ;0SG;0;0SG;categoria_3_char;2;99;9118
0MBN4ZZ;0MB;0;0MB;categoria_3_char;1;33;9118
0SRC07Z;0SR;0;0SR;categoria_3_char;1;525;9118
0QSCXZZ;0QS;0;0QS;categoria_3_char;1;304;9118
0HQQXZZ;0HQ;0;0HQ;categoria_3_char;4;102;9118
0SGH0ZZ;0SG;0;0SG;categoria_3_char;1;99;9118
089X70Z;089;0;rare_sec_0;seccion_rare;1;5;9118
089Y70Z;089;0;rare_sec_0;seccion_rare;1;5;9118
0HDNXZZ;0HD;0;rare_sec_0;seccion_rare;1;11;9118
0TF38ZZ;0TF;0;rare_sec_0;seccion_rare;2;19;9118
041E0JH;041;0;041;categoria_3_char;2;123;9118
04UK0JZ;04U;0;rare_sec_0;seccion_rare;1;6;9118
0QUC0JZ;0QU;0;rare_sec_0;seccion_rare;1;7;9118
0W9830Z;0W9;0;0W9830Z;codigo_completo;11;291;9118
0PS000Z;0PS;0;0PS;categoria_3_char;1;181;9118
0WU807Z;0WU;0;0WU;categoria_3_char;1;119;9118
0B9N40Z;0B9;0;0B9;categoria_3_char;1;111;9118
0BDN4ZZ;0BD;0;rare_sec_0;seccion_rare;4;8;9118
00Q20ZZ;00Q;0;rare_sec_0;seccion_rare;3;6;9118
0NU107Z;0NU;0;rare_sec_0;seccion_rare;1;3;9118
0NU207Z;0NU;0;rare_sec_0;seccion_rare;1;3;9118
0NUF07Z;0NU;0;rare_sec_0;seccion_rare;1;3;9118
0NUG07Z;0NU;0;rare_sec_0;seccion_rare;1;3;9118
0WU84JZ;0WU;0;0WU;categoria_3_char;1;119;9118
4A12XFZ;4A1;4;4A1;categoria_3_char;1;1367;2157
0BDP0ZZ;0BD;0;rare_sec_0;seccion_rare;1;8;9118
0FTG0ZZ;0FT;0;0FT;categoria_3_char;2;314;9118
0FF98ZZ;0FF;0;rare_sec_0;seccion_rare;1;1;9118
0S9B0ZZ;0S9;0;rare_sec_0;seccion_rare;3;18;9118
0PSG36Z;0PS;0;0PS;categoria_3_char;4;181;9118
0JBK0ZZ;0JB;0;0JB;categoria_3_char;1;103;9118
2W6NX0Z;2W6;2;rare_sec_2;seccion_rare;1;4;53
09C37ZZ;09C;0;rare_sec_0;seccion_rare;1;3;9118
09C47ZZ;09C;0;rare_sec_0;seccion_rare;1;3;9118
04PY33Z;04P;0;rare_sec_0;seccion_rare;1;3;9118
0HRFXK3;0HR;0;0HR;categoria_3_char;1;92;9118
0HRGXK3;0HR;0;0HR;categoria_3_char;1;92;9118
0HRHX73;0HR;0;0HR;categoria_3_char;1;92;9118
0HRHXK3;0HR;0;0HR;categoria_3_char;1;92;9118
0HRJX73;0HR;0;0HR;categoria_3_char;1;92;9118
0HRJXK3;0HR;0;0HR;categoria_3_char;1;92;9118
0HRKXK3;0HR;0;0HR;categoria_3_char;1;92;9118
0HRLX73;0HR;0;0HR;categoria_3_char;2;92;9118
0HRLXK3;0HR;0;0HR;categoria_3_char;1;92;9118
2W0LX4Z;2W0;2;rare_sec_2;seccion_rare;1;4;53
2W0MX4Z;2W0;2;rare_sec_2;seccion_rare;2;4;53
2W2LX4Z;2W2;2;rare_sec_2;seccion_rare;1;10;53
2W2MX4Z;2W2;2;rare_sec_2;seccion_rare;2;10;53
0SH208Z;0SH;0;rare_sec_0;seccion_rare;1;9;9118
8E0WXBZ;8E0;8;8E0;categoria_3_char;4;94;94
0TUD4JZ;0TU;0;0TU;categoria_3_char;3;25;9118
0C5PXZZ;0C5;0;rare_sec_0;seccion_rare;1;10;9118
07973ZX;079;0;rare_sec_0;seccion_rare;2;17;9118
0PNB0ZZ;0PN;0;rare_sec_0;seccion_rare;1;1;9118
0RRU0JZ;0RR;0;0RR;categoria_3_char;1;45;9118
095M4ZZ;095;0;095;categoria_3_char;1;40;9118
0QP804Z;0QP;0;0QP;categoria_3_char;4;78;9118
04100J8;041;0;041;categoria_3_char;1;123;9118
