grupo_final;pacientes_unicos
0HBV0ZZ;13
HZ80ZZZ;13
06HM33Z;13
0TB13ZX;13
0T9B30Z;13
0FPB8DZ;13
0Q8P0ZZ;13
047J3DZ;13
5A1;13
0JPT0WZ;13
BF43ZZZ;13
0UT90ZZ;13
0QB30ZZ;13
0JP;13
0BB48ZX;13
0VTTXZZ;13
0WQ;13
02RF38Z;12
0HBHXZZ;12
3E0H76Z;12
02703DZ;12
0SG0071;12
0YU54JZ;12
0VB00ZZ;12
0WJG4ZZ;12
0W0F0ZZ;12
07B50ZZ;12
BF10YZZ;12
0PSK04Z;12
02K83ZZ;12
0QS634Z;12
0DTG4ZZ;12
0WJ;12
0SQ;11
0HBMXZZ;11
0SQC4ZZ;11
0FBG3ZX;11
0QPH04Z;11
0WUN0JZ;11
0B958ZX;11
095;11
0FP;11
0VT34ZZ;11
B41F1ZZ;11
6A801ZZ;11
10D07Z6;11
0UTC0ZZ;11
0TU;11
0UT70ZZ;11
07TD4ZZ;11
0UT97ZZ;11
rare_sec_6;11
0DB28ZX;11
3E03317;11
0JH607Z;11
0U7C7ZZ;11
0W9830Z;11
0SRD0JZ;11
F07L3ZZ;11
0YUA0JZ;11
BW2;11
02110A8;10
0JB00ZZ;10
0HTU0ZZ;10
0KQL0ZZ;10
0HRMX74;10
01N;10
0HBKXZZ;10
B41G1ZZ;10
00953ZX;10
B31R1ZZ;10
0BBB8ZX;10
0HBNXZZ;10
0KQK0ZZ;10
0JH609Z;10
0WJJ4ZZ;10
02120A9;10
0QS704Z;10
0D598ZZ;10
0UL74CZ;10
047L3DZ;10
4A023N8;10
0SRC0JZ;10
0CDXXZ0;10
047H3DZ;10
0SG1071;10
0DB80ZZ;10
04793DZ;10
3E0L3TZ;10
07T60ZZ;10
07TC4ZZ;10
0DV;10
0UT64ZZ;10
03BC0ZZ;10
0DB64ZX;10
0QS734Z;10
3E0D76Z;10
0FJ;9
06B;9
03B;9
04H;8
BF4;8
4A1;8
10D;6
F07;6
0FC;6
07D;6
0VT;5
0KQ;5
0RB;5
rare_sec_F;5
BF0;4
0YU;4
0BH;4
039;3
0TJ;3
0BJ;3
0FT;3
109;2
0WU;2
0HT;2
0CD;1
6A6;1
rare_sec_G;1
rare_sec_X;1
