segmento,precision,recall,thresholds
global,0.12178088171104322,1.0,0.0016119535
global,0.12183406113537118,1.0,0.0016154852
global,0.1218872870249017,1.0,0.0016201402
global,0.12194055944055944,1.0,0.0016305527
global,0.1219938784433756,1.0,0.0016502056
global,0.1220472440944882,1.0,0.0016511234
global,0.12210065645514223,1.0,0.0016571047
global,0.12226117440841368,1.0,0.001657766
global,0.12231477422183253,1.0,0.0016587039
global,0.12242211496270294,1.0,0.0016825589
global,0.12247585601404741,1.0,0.0016935533
global,0.1225296442687747,1.0,0.0017114498
global,0.1225834797891037,1.0,0.0017273172
global,0.1227452705675319,1.0,0.0017275613
global,0.12279929577464789,1.0,0.0017283346
global,0.12285336856010567,1.0,0.0017319748
global,0.12301587301587301,1.0,0.0017385399
global,0.12307013674459638,1.0,0.0017506009
global,0.12312444836716681,1.0,0.0017617648
global,0.12317880794701987,1.0,0.0017769886
global,0.12323321554770318,1.0,0.0017793822
global,0.1232876712328767,1.0,0.0017834709
global,0.12339672711189739,1.0,0.0017941608
global,0.12345132743362831,1.0,0.0018028326
global,0.12350597609561753,1.0,0.0018081546
global,0.12356067316209035,1.0,0.001812852
global,0.1236154186973859,1.0,0.0018145476
global,0.12367021276595745,1.0,0.0018148585
global,0.1237250554323725,1.0,0.0018261117
global,0.12377994676131322,1.0,0.0018263698
global,0.12383488681757657,1.0,0.0018389198
global,0.1238898756660746,1.0,0.0018452528
global,0.12394491337183473,1.0,0.0018693598
global,0.124,1.0,0.0018758178
global,0.12405513561582926,1.0,0.0018776212
global,0.12449799196787148,1.0,0.0018880967
global,0.12455357142857143,1.0,0.0019071439
global,0.12466487935656836,1.0,0.0019241788
global,0.12472060795708538,1.0,0.0019294021
global,0.12477638640429338,1.0,0.001931621
global,0.12483221476510067,1.0,0.0019558037
global,0.12488809310653537,1.0,0.0019654124
global,0.12494402149574563,1.0,0.001969686
global,0.12550607287449392,1.0,0.0019725957
global,0.12556255625562557,1.0,0.001993147
global,0.12595936794582394,1.0,0.0019953477
global,0.12601626016260162,1.0,0.0019967677
global,0.12607320379575238,1.0,0.0019976099
global,0.12613019891500904,1.0,0.0020037787
global,0.12618724559023067,1.0,0.0020220503
global,0.12635869565217392,1.0,0.0020238506
global,0.12641594925237878,1.0,0.002025128
global,0.12647325475974613,1.0,0.002026036
global,0.12653061224489795,1.0,0.0020434065
global,0.1265880217785844,1.0,0.0020435834
global,0.12664548343168408,1.0,0.0020455527
global,0.12670299727520437,1.0,0.0020471925
global,0.1267605633802817,1.0,0.002055743
global,0.12681818181818183,1.0,0.0020586702
global,0.12687585266030013,1.0,0.0020683666
global,0.12693357597816196,1.0,0.0020699587
global,0.12699135184342286,1.0,0.00207007
global,0.12704918032786885,1.0,0.0020878152
global,0.12710706150341686,1.0,0.0021029075
global,0.12716499544211485,1.0,0.002127193
